,Date,Net Sales,Orders,Guests
283,2023-10-11,572.49,18,18
284,2023-10-12,370.24,12,12
285,2023-10-13,707.5,25,25
286,2023-10-14,1586.8,26,26
287,2023-10-15,788.07,23,23
288,2023-10-16,0.0,0,0
289,2023-10-17,382.2,19,19
290,2023-10-18,410.71,14,14
291,2023-10-19,231.33,8,8
292,2023-10-20,855.34,26,26
293,2023-10-21,956.21,30,30
294,2023-10-22,664.57,15,15
295,2023-10-23,0.0,0,0
296,2023-10-24,311.71,10,10
297,2023-10-25,412.75,14,14
298,2023-10-26,310.3,11,11
299,2023-10-27,342.78,15,15
300,2023-10-28,539.1,18,18
301,2023-10-29,775.87,21,21
302,2023-10-30,0.0,0,0
303,2023-10-31,692.43,14,14
304,2023-11-01,376.71,13,13
305,2023-11-02,497.17,23,23
306,2023-11-03,555.1,21,21
307,2023-11-04,1172.17,37,37
308,2023-11-05,1021.71,31,31
309,2023-11-06,0.0,0,0
310,2023-11-07,305.31,10,10
311,2023-11-08,320.4,11,11
312,2023-11-09,633.53,19,19
313,2023-11-10,832.47,29,29
314,2023-11-11,898.27,31,31
315,2023-11-12,671.96,20,20
316,2023-11-13,0.0,0,0
317,2023-11-14,406.95,15,15
318,2023-11-15,654.06,19,19
319,2023-11-16,265.81,10,10
320,2023-11-17,867.96,22,22
321,2023-11-18,653.61,23,23
322,2023-11-19,828.84,20,20
323,2023-11-20,0.0,0,0
324,2023-11-21,506.59,15,15
325,2023-11-22,461.67,12,12
326,2023-11-23,0.0,0,0
327,2023-11-24,744.98,24,24
328,2023-11-25,1265.66,41,41
329,2023-11-26,695.44,23,23
330,2023-11-27,0.0,0,0
331,2023-11-28,126.88,5,5
332,2023-11-29,370.71,14,14
333,2023-11-30,663.64,16,16
334,2023-12-01,699.42,24,24
335,2023-12-02,909.44,23,23
336,2023-12-03,467.25,17,17
337,2023-12-04,0.0,0,0
338,2023-12-05,328.74,14,14
339,2023-12-06,546.21,17,17
340,2023-12-07,544.19,17,17
341,2023-12-08,764.58,23,23
342,2023-12-09,886.84,26,26
343,2023-12-10,659.07,22,22
344,2023-12-11,0.0,0,0
345,2023-12-12,364.26,12,12
346,2023-12-13,598.06,19,19
347,2023-12-14,283.76,9,9
348,2023-12-15,768.05,22,22
349,2023-12-16,789.52,24,24
350,2023-12-17,608.54,16,16
351,2023-12-18,0.0,0,0
352,2023-12-19,248.81,9,9
353,2023-12-20,609.61,20,20
354,2023-12-21,438.73,16,16
355,2023-12-22,876.45,22,22
356,2023-12-23,1218.74,30,30
357,2023-12-24,1517.66,38,38
358,2023-12-25,1528.61,44,44
359,2023-12-26,966.38,25,25
360,2023-12-27,672.58,17,17
361,2023-12-28,878.42,24,24
362,2023-12-29,1284.22,32,32
363,2023-12-30,1417.59,43,43
364,2023-12-31,1136.31,31,31
365,2024-01-01,0.0,0,0
366,2024-01-02,656.12,19,19
367,2024-01-03,666.52,17,17
368,2024-01-04,373.35,12,12
369,2024-01-05,817.98,24,24
370,2024-01-06,932.27,28,28
371,2024-01-07,709.02,24,24
372,2024-01-08,0.0,0,0
373,2024-01-09,312.79,16,16
374,2024-01-10,461.23,18,18
375,2024-01-11,323.32,10,10
